text_raport|text_clean_debug|eticheta_problema|eticheta_departament|eticheta_urgenta|data_raport
verificati camera compresoare,blue screen la pornire|Verificati camera compresoare, blue screen la pornire|bug_aplicatie|Software|medie|2026-01-04
defectiune zlna anbalare: transformator supraincalzit.|Defectiune zona ambalare: transformator supraincalzit.|componente_automatizare|Electric|medie|2025-12-30
ivertorul e in avarie la robot sudura. urgent|invertorul e in avarie la robot sudura. URGENT|componente_automatizare|Electric|critica|2026-01-29
verificati persa hidraulica rroare citire debitmettru|Verificati presa hidraulica, eroare citire debitmetru|senzori_instrumentatie|Electric|medie|2026-01-30
nu mai culiseaza sania zona statia vopsire|nu mai culiseaza sania zona statia vopsire|blocaj_mecanic|Mecanic|medie|2026-01-28
defectiune camera compresoare: scurgere de luei suub utilaj.|Defectiune camera compresoare: scurgere de ulei sub utilaj.|scurgere_lichide|Mecanic|medie|2025-12-27
la lresa hidraulica: uas de protectie intepenita.|La presa hidraulica: usa de protectie intepenita.|blocaj_mecanic|Mecanic|critica|2026-01-01
defedtiune magazie piese: senzor proximitate lovjt.|Defectiune magazie piese: senzor proximitate lovit.|senzori_instrumentatie|Electric|critica|2026-01-05
defectiune robot kukka: cod de eroare 404.|Defectiune robot kuka: cod de eroare 404.|bug_aplicatie|Software|critica|2026-01-29
nu se aprnide becul de contol la cuptof tratament. merge greu|nu se aprinde becul de control la cuptor tratament. merge greu|alimentare_curent|Electric|medie|2026-01-15
cablu de retea scos la zoa expediti.e trebuie verificat|cablu de retea scos la zona expeditie. trebuie verificat|conectivitate_retea|Software|medie|2025-12-20
erificati lina 2, transformator suprainczlzit|Verificati linia 2, transformator supraincalzit|componente_automatizare|Electric|mica|2026-01-14
vdrificati linia 2, ping tiimeout|Verificati linia 2, ping timeout|conectivitate_retea|Software|medie|2026-02-04
ursa de alimentare arsa la zona expeditie. pericol|sursa de alimentare arsa la zona expeditie. PERICOL|alimentare_curent|Electric|critica|2025-12-23
bblue screej la pornire zona robo sudura|blue screen la pornire zona robot sudura|bug_aplicatie|Software|medie|2025-12-11
la robot kuka: blue screen la pornire.|La robot kuka: blue screen la pornire.|bug_aplicatie|Software|critica|2025-12-27
zgomot ciudat! furtu presiune spart la pres hidraulica|zgomot ciudat! furtun presiune spart la presa hidraulica|scurgere_lichide|Mecanic|medie|2026-01-23
verificati statia vopsire, pierdere pahete dats|Verificati statia vopsire, pierdere pachete date|conectivitate_retea|Software|medie|2026-01-24
la zona ambalare: fluctuatii de tenssiune.|La zona ambalare: fluctuatii de tensiune.|alimentare_curent|Electric|medie|2026-01-11
bibratii puternice la ax la camera compresoare. urfent|vibratii puternice la ax la camera compresoare. URGENT|uzura_fizica|Mecanic|critica|2025-12-14
defectiune magazie ipese: s-a blocat brtul robotic.|Defectiune magazie piese: s-a blocat bratul robotic.|blocaj_mecanic|Mecanic|critica|2026-01-06
defectiune linia 2: banda transportoare sfiasizta.|Defectiune linia 2: banda transportoare sfiasiata.|uzura_fizica|Mecanic|critica|2026-02-07
tastatura blocata la uptor ratament. risc accident|tastatura blocata la cuptor tratament. RISC ACCIDENT|hardware_it|Software|critica|2025-12-22
png timeout zona statia vopsire|ping timeout zona statia vopsire|conectivitate_retea|Software|medie|2026-01-27
aplicatia s-aa inchis singura zona rovot sudura|aplicatia s-a inchis singura zona robot sudura|bug_aplicatie|Software|critica|2026-02-04
foocelula murdara zoan robot sudura|fotocelula murdara zona robot sudura|senzori_instrumentatie|Electric|medie|2025-12-18
defectiune liia 1: furtun preiune spsrt.|Defectiune linia 1: furtun presiune spart.|scurgere_lichide|Mecanic|critica|2026-02-07
urgent! butonul de start e rgi (inactiv) la robot kuka|URGENT! butonul de start e gri (inactiv) la robot kuka|bug_aplicatie|Software|critica|2026-02-01
mouuse-ul nu merge zoha cncc mazak|mouse-ul nu merge zona cnc mazak|hardware_it|Software|medie|2026-01-10
la ona ambalare: transformator suprwincalzit.|La zona ambalare: transformator supraincalzit.|componente_automatizare|Electric|mica|2025-12-17
vaselina crge din lagar la cuptor trtaament. kentenanta preventiva|vaselina curge din lagar la cuptor tratament. mentenanta preventiva|scurgere_lichide|Mecanic|mica|2025-12-23
defectiune cuptor tratament: role blocate la banda.|Defectiune cuptor tratament: role blocate la banda.|blocaj_mecanic|Mecanic|medie|2026-01-20
nu avem tensiune la panou zona robto kuka|nu avem tensiune la panou zona robot kuka|alimentare_curent|Electric|medie|2026-01-28
trebuie verificat! fotocelula murdara la cnnc amzak|trebuie verificat! fotocelula murdara la cnc mazak|senzori_instrumentatie|Electric|medie|2026-01-29
invertorul e in avarie zona cnc mazak|invertorul e in avarie zona cnc mazak|componente_automatizare|Electric|critica|2026-02-02
senzorul nu citesste nimic la zona expeeitie. mentenanta preventiva|senzorul nu citeste nimic la zona expeditie. mentenanta preventiva|senzori_instrumentatie|Electric|mica|2025-12-15
cerificati presa hidrraulica, senzorup nu citeset nimic|Verificati presa hidraulica, senzorul nu citeste nimic|senzori_instrumentatie|Electric|critica|2026-02-01
metenanta prevetniva! sursa de alimentrae arsa la cputor tratament|mentenanta preventiva! sursa de alimentare arsa la cuptor tratament|alimentare_curent|Electric|mica|2025-12-17
usa de protectie intepneita zona zona expeditie|usa de protectie intepenita zona zona expeditie|blocaj_mecanic|Mecanic|medie|2026-01-05
verificati robo sudura,pierde lichid hidraulic|Verificati robot sudura, pierde lichid hidraulic|scurgere_lichide|Mecanic|critica|2026-01-07
se ade urat un motor la persa hidraulica verificare ivzuala|se aude urat un motor la presa hidraulica. verificare vizuala|uzura_fizica|Mecanic|mica|2026-01-04
la zona expeditie: valoare zero la senozr temperatura.|La zona expeditie: valoare zero la senzor temperatura.|senzori_instrumentatie|Electric|critica|2025-12-20
la linia 1: scuurgere de ulie subb utilaj.|La linia 1: scurgere de ulei sub utilaj.|scurgere_lichide|Mecanic|critica|2026-01-30
verificati magazie pidse, cablu de retea scoos|Verificati magazie piese, cablu de retea scos|conectivitate_retea|Software|critica|2026-01-07
cld de eroare 404 la rbot kuk. trebuie verificat|cod de eroare 404 la robot kuka. trebuie verificat|bug_aplicatie|Software|medie|2026-02-06
verificati zona ambalare, nu vede stick-ul usb|Verificati zona ambalare, nu vede stick-ul USB|hardware_it|Software|mica|2025-12-31
bataie in reductor la linai 2. verificsre vizuala|bataie in reductor la linia 2. verificare vizuala|uzura_fizica|Mecanic|mica|2026-01-19
nu se nicarca retsta la magazie piesse. nota informativa|nu se incarca reteta la magazie piese. nota informativa|bug_aplicatie|Software|mica|2026-01-29
verifiacti vnc mazak scurtcircuit cu flama|Verificati cnc mazak, scurtcircuit cu flama|alimentare_curent|Electric|medie|2025-12-13
nu e graba! s-a opdit curengul la linie la cnc mazak|nu e graba! s-a oprit curentul la linie la cnc mazak|alimentare_curent|Electric|mica|2025-12-16
pataa mare de uli pe jos la linia 2. ota informativa|pata mare de ulei pe jos la linia 2. nota informativa|scurgere_lichide|Mecanic|mica|2026-02-01
veirficati linia 1, ccablu sectionat|Verificati linia 1, cablu sectionat|alimentare_curent|Electric|critica|2026-01-14
verkficati kagazie piees, zgomot de polizare|Verificati magazie piese, zgomot de polizare|uzura_fizica|Mecanic|medie|2025-12-12
verificati cnc mazak,blue screen la pornire|Verificati cnc mazak, blue screen la pornire|bug_aplicatie|Software|medie|2026-01-22
nu se incarca reteta la llinia 1. nu e grba|nu se incarca reteta la linia 1. nu e graba|bug_aplicatie|Software|mica|2026-01-02
contactuul nu cupleaza xona linnia 1|contactul nu cupleaza zona linia 1|componente_automatizare|Electric|critica|2026-01-25
zgonot ciudat! touchscrren-ul nu raspunde la atingeree la inia 2|zgomot ciudat! touchscreen-ul nu raspunde la atingere la linia 2|hardware_it|Software|medie|2026-01-10
la camera compresoare: usa de protectie intepenita.|La camera compresoare: usa de protectie intepenita.|blocaj_mecanic|Mecanic|mica|2026-01-31
ecran negtu complet la robot kukka. inie oprita|ecran negru complet la robot kuka. LINIE OPRITA|hardware_it|Software|critica|2025-12-17
motorul declanseaza prootectia termica zoan robot kuka|motorul declanseaza protectia termica zona robot kuka|componente_automatizare|Electric|critica|2026-01-10
defectiune stata vopsire: fluctuztii de tensiunne.|Defectiune statia vopsire: fluctuatii de tensiune.|alimentare_curent|Electric|medie|2025-12-31
valloare zeor la enzor tempeeratura zoona statia vopisre|valoare zero la senzor temperatura zona statia vopsire|senzori_instrumentatie|Electric|critica|2026-01-25
vibratii puternice la ax zona robot suduura|vibratii puternice la ax zona robot sudura|uzura_fizica|Mecanic|critica|2026-01-03
la camera compresoare: baaie in reductor.|La camera compresoare: bataie in reductor.|uzura_fizica|Mecanic|critica|2025-12-26
la zona ambalare: eroare citife debitmteru.|La zona ambalare: eroare citire debitmetru.|senzori_instrumentatie|Electric|mica|2026-01-06
la maazie ppiese: nu se alrinde becul de control.|La magazie piese: nu se aprinde becul de control.|alimentare_curent|Electric|mica|2025-12-11
defectiue robot usdura: nu se aprinde becul de control.|Defectiune robot sudura: nu se aprinde becul de control.|alimentare_curent|Electric|mica|2026-01-28
nu se incarca reteta la znoa expeditie. urgent|nu se incarca reteta la zona expeditie. URGENT|bug_aplicatie|Software|critica|2026-02-04
ax descentrat zona oresa hidraulica|ax descentrat zona presa hidraulica|uzura_fizica|Mecanic|medie|2026-01-30
merge greu! nu comunica cu serverup la cnc mazak|merge greu! nu comunica cu serverul la cnc mazak|conectivitate_retea|Software|medie|2026-01-28
incendiu! dinto rupti la roata dintata la magazie pise|INCENDIU! dinti rupti la roata dintata la magazie piese|uzura_fizica|Mecanic|critica|2025-12-22
defectine cammera compresoare: blue screen la pornire.|Defectiune camera compresoare: blue screen la pornire.|bug_aplicatie|Software|critica|2026-01-20
termocupla defceta zoan zona ambalare|termocupla defecta zona zona ambalare|senzori_instrumentatie|Electric|critica|2026-01-23
eroare pe ecrn znoa rrobot sduura|eroare pe ecran zona robot sudura|bug_aplicatie|Software|mica|2025-12-11
la robot kuak: butonul de start e rgi (inactiv).|La robot kuka: butonul de start e gri (inactiv).|bug_aplicatie|Software|critica|2026-01-12
la magazie pise: angrenaj gripta.|La magazie piese: angrenaj gripat.|blocaj_mecanic|Mecanic|medie|2026-01-19
nu e grba! touchscreen decalat la magzaie peise|nu e graba! touchscreen decalat la magazie piese|hardware_it|Software|mica|2026-01-25
la zona expeditie: mouse-ul nu mergee.|La zona expeditie: mouse-ul nu merge.|hardware_it|Software|mica|2025-12-14
sursa de alimentare arsa la liniaa 1. incetineste productia|sursa de alimentare arsa la linia 1. incetineste productia|alimentare_curent|Electric|medie|2026-02-02
trebuie verificat! role bloocate la banda la prea hidraulica|trebuie verificat! role blocate la banda la presa hidraulica|blocaj_mecanic|Mecanic|medie|2026-01-18
pierde lichid hidraylic zonw robot kuka|pierde lichid hidraulic zona robot kuka|scurgere_lichide|Mecanic|medie|2026-01-09
verificati robott sudua, vaselina cugre din lagarr|Verificati robot sudura, vaselina curge din lagar|scurgere_lichide|Mecanic|medie|2026-01-29
releu ars in talbou la ribot sudura. ris accident|releu ars in tablou la robot sudura. RISC ACCIDENT|componente_automatizare|Electric|critica|2025-12-26
verificati statia vopsire, ubitatea pc carie|Verificati statia vopsire, unitatea PC caraie|hardware_it|Software|mica|2026-01-07
defetciune statia vopsire: touchscreen decalat.|Defectiune statia vopsire: touchscreen decalat.|hardware_it|Software|medie|2026-01-25
verificati ona expeditie, vlaoare zero la senzor temperatura|Verificati zona expeditie, valoare zero la senzor temperatura|senzori_instrumentatie|Electric|medie|2026-01-02
ecran negru complet zoan robkt sudura|ecran negru complet zona robot sudura|hardware_it|Software|critica|2026-01-06
cod de eroare 404 la robto kuka. incendiu|cod de eroare 404 la robot kuka. INCENDIU|bug_aplicatie|Software|critica|2025-12-25
caand se poate! png timeoht la robot sudura|cand se poate! ping timeout la robot sudura|conectivitate_retea|Software|mica|2026-01-21
dfeectiune cnc mazak: pata mare de ulei pe jos.|Defectiune cnc mazak: pata mare de ulei pe jos.|scurgere_lichide|Mecanic|critica|2025-12-23
cand se loate! transformator supraincalit la magaze piexe|cand se poate! transformator supraincalzit la magazie piese|componente_automatizare|Electric|mica|2026-01-07
deffectiune cuptor tratamentt: ss-a oprit curentul la pinie.|Defectiune cuptor tratament: s-a oprit curentul la linie.|alimentare_curent|Electric|medie|2026-02-08
nu comunica cu seerverul la statia vopsire. incetineste productia|nu comunica cu serverul la statia vopsire. incetineste productia|conectivitate_retea|Software|medie|2025-12-29
nu domunica cu serveurl zona cuptor tratamen|nu comunica cu serverul zona cuptor tratament|conectivitate_retea|Software|critica|2026-01-13
verificati ona ambalare, usa de protectie intepenita|Verificati zona ambalare, usa de protectie intepenita|blocaj_mecanic|Mecanic|critica|2025-12-15
furtun presiune spart la robot kuka.. nu e graba|furtun presiune spart la robot kuka. nu e graba|scurgere_lichide|Mecanic|mica|2025-12-21
ecrran negru cokplet zona zona expeditie|ecran negru complet zona zona expeditie|hardware_it|Software|mica|2025-12-18
verifictai linia 2,releu ars in tabolu|Verificati linia 2, releu ars in tablou|componente_automatizare|Electric|medie|2026-01-12
verificati linia 2, contactul nu cupleaza|Verificati linia 2, contactul nu cupleaza|componente_automatizare|Electric|medie|2026-01-19
verificati magazzie piede,fotocelula murddara|Verificati magazie piese, fotocelula murdara|senzori_instrumentatie|Electric|mica|2026-01-08
fum! scurgere de ulei sub ugilaj la presa hidraulica|FUM! scurgere de ulei sub utilaj la presa hidraulica|scurgere_lichide|Mecanic|critica|2025-12-15
fluctuatii de tensiune zona camera compresoare|fluctuatii de tensiune zona camera compresoare|alimentare_curent|Electric|mica|2026-02-07
trebuie verificat! scurgere de uulei suv utikaj la robot kuka|trebuie verificat! scurgere de ulei sub utilaj la robot kuka|scurgere_lichide|Mecanic|medie|2026-01-08
verificati magaazie piese, se aude uratt un motor|Verificati magazie piese, se aude urat un motor|uzura_fizica|Mecanic|mica|2026-01-18
verificati cnc mazak,,bataie in redctor|Verificati cnc mazak, bataie in reductor|uzura_fizica|Mecanic|critica|2025-12-22
defectiune cuptor tratamet: cablu sectionat.|Defectiune cuptor tratament: cablu sectionat.|alimentare_curent|Electric|critica|2025-12-22
nu ave rtea la hmi la caera compresoar. ericol|nu avem retea la hmi la camera compresoare. PERICOL|conectivitate_retea|Software|critica|2026-01-28
verificati zona expeditie, eroare pe ecran|Verificati zona expeditie, eroare pe ecran|bug_aplicatie|Software|medie|2026-01-27
cnad se poate! daele nu se actualuzeaza la magazie piese|cand se poate! datele nu se actualizeaza la magazie piese|bug_aplicatie|Software|mica|2025-12-21
pcura apa din racure zoa zonaa expeditie|picura apa din racire zona zona expeditie|scurgere_lichide|Mecanic|critica|2025-12-21
dfectiune cnc mazak: touchscreen decalat.|Defectiune cnc mazak: touchscreen decalat.|hardware_it|Software|critica|2025-12-16
la resa hidraulica: furtun presiune spart.|La presa hidraulica: furtun presiune spart.|scurgere_lichide|Mecanic|mica|2026-01-21
pistonul nu mai revone zna robot sudura|pistonul nu mai revine zona robot sudura|blocaj_mecanic|Mecanic|mica|2026-01-10
nu comunic cu srverul zona zona ambalare|nu comunica cu serverul zona zona ambalare|conectivitate_retea|Software|mica|2026-02-03
pericol! termocupal ddefecta la magazie piesd|PERICOL! termocupla defecta la magazie piese|senzori_instrumentatie|Electric|critica|2026-01-16
motorul declznseaza protectoa termica ozna magazie peise|motorul declanseaza protectia termica zona magazie piese|componente_automatizare|Electric|mica|2026-02-07
defectiune liniaa 2: transformator supraincazit.|Defectiune linia 2: transformator supraincalzit.|componente_automatizare|Electric|critica|2025-12-24
zgomot ciudat! fotocelula murdara la magaazie piese|zgomot ciudat! fotocelula murdara la magazie piese|senzori_instrumentatie|Electric|medie|2026-02-05
defectiune cuptoe tratament: nu se incarca reteta..|Defectiune cuptor tratament: nu se incarca reteta.|bug_aplicatie|Software|medie|2026-01-24
senzorlu nu citeste nimic zona liniq 2|senzorul nu citeste nimic zona linia 2|senzori_instrumentatie|Electric|medie|2025-12-12
verificcati zona expeditie, scurtere de ulei sbu utilaj|Verificati zona expeditie, scurgere de ulei sub utilaj|scurgere_lichide|Mecanic|critica|2026-01-05
defectiune statia vopsire: vlva hidrraulica blocaat.|Defectiune statia vopsire: valva hidraulica blocata.|blocaj_mecanic|Mecanic|mica|2025-12-31
defectiune pesa hidraulica: motorul declanseaza protectia termica.|Defectiune presa hidraulica: motorul declanseaza protectia termica.|componente_automatizare|Electric|mica|2026-01-16
la cuuptor tratament: touchscreen-ul nu rqspunde la atingere.|La cuptor tratament: touchscreen-ul nu raspunde la atingere.|hardware_it|Software|medie|2025-12-15
la camera compresoare: touchscreen decaat.|La camera compresoare: touchscreen decalat.|hardware_it|Software|critica|2026-01-30
verificaati cand puteti! axul motroului e blocaat la camera compresoare|verificati cand puteti! axul motorului e blocat la camera compresoare|blocaj_mecanic|Mecanic|medie|2026-01-20
touchhscreen decalat ona rboot kuka|touchscreen decalat zona robot kuka|hardware_it|Software|critica|2025-12-29
fotocelula murdara la linia 2. nu e garba|fotocelula murdara la linia 2. nu e graba|senzori_instrumentatie|Electric|mica|2026-01-31
la liniz 2: fotocelula murdara.|La linia 2: fotocelula murdara.|senzori_instrumentatie|Electric|medie|2026-02-09
nu counica cu serverull zona presa hirdaulica|nu comunica cu serverul zona presa hidraulica|conectivitate_retea|Software|mica|2025-12-27
fmu! erkare pe ecrn la ccnc mazak|FUM! eroare pe ecran la cnc mazak|bug_aplicatie|Software|critica|2026-01-16
verificati camera compresoare, senzor prooximitate lovit|Verificati camera compresoare, senzor proximitate lovit|senzori_instrumentatie|Electric|critica|2026-01-03
nu comunica cu serveryl zoona mgazie piese|nu comunica cu serverul zona magazie piese|conectivitate_retea|Software|critica|2026-01-16
verificati liinia 1, nu avem retea la hmi|Verificati linia 1, nu avem retea la hmi|conectivitate_retea|Software|critica|2025-12-19
la robot kuka: urea rupta.|La robot kuka: curea rupta.|uzura_fizica|Mecanic|critica|2026-01-12
urget! nu avem tensiune la paou la statia vopsire|URGENT! nu avem tensiune la panou la statia vopsire|alimentare_curent|Electric|critica|2026-01-05
pistonul nu mai revine la llinia 1. mergge greu|pistonul nu mai revine la linia 1. merge greu|blocaj_mecanic|Mecanic|medie|2026-01-07
defectiune cuptor tratament: curea rupta.|Defectiune cuptor tratament: curea rupta.|uzura_fizica|Mecanic|mica|2026-01-18
senaorul nu citeste nimic zona pres hidraulica|senzorul nu citeste nimic zona presa hidraulica|senzori_instrumentatie|Electric|medie|2025-12-13
contactul nu cupleaza la presa hiidraulica. mejtenanta prventiva|contactul nu cupleaza la presa hidraulica. mentenanta preventiva|componente_automatizare|Electric|mica|2025-12-26
verificati cadn pputeti! ubg in soft la sqlvare la linia 2|verificati cand puteti! bug in soft la salvare la linia 2|bug_aplicatie|Software|medie|2026-01-10
defectiune acmera compresoare: senzor proximitate lvit.|Defectiune camera compresoare: senzor proximitate lovit.|senzori_instrumentatie|Electric|critica|2026-02-07
la cnc mazak: butonul de sttart e gri (inqctiv).|La cnc mazak: butonul de start e gri (inactiv).|bug_aplicatie|Software|critica|2025-12-15
la camera compresoare: flctuatii de tensiune.|La camera compresoare: fluctuatii de tensiune.|alimentare_curent|Electric|mica|2026-01-07
nu comunica cu serveruul zona zons ambalare|nu comunica cu serverul zona zona ambalare|conectivitate_retea|Software|critica|2025-12-16
la robot kka: eroare pe ecran.|La robot kuka: eroare pe ecran.|bug_aplicatie|Software|mica|2026-01-16
deectiune presa hidraulica: cureaa rupta.|Defectiune presa hidraulica: curea rupta.|uzura_fizica|Mecanic|mica|2026-02-06
verificati zona expeditie,s-a blocat brtaul robotic|Verificati zona expeditie, s-a blocat bratul robotic|blocaj_mecanic|Mecanic|medie|2025-12-19
la magazie pisee: flucttuatii de tennsiune.|La magazie piese: fluctuatii de tensiune.|alimentare_curent|Electric|mica|2026-01-01
verificati zona amnalare, scurgere de ulei sub utilzj|Verificati zona ambalare, scurgere de ulei sub utilaj|scurgere_lichide|Mecanic|medie|2025-12-16
verifocati magazie piese,butonul de start e gri (inactiv)|Verificati magazie piese, butonul de start e gri (inactiv)|bug_aplicatie|Software|critica|2025-12-23
trebuuie verigicat! pistonup nu ami revine la cuptor tratament|trebuie verificat! pistonul nu mai revine la cuptor tratament|blocaj_mecanic|Mecanic|medie|2026-01-05
furgun presiune spart zona zona expeditie|furtun presiune spart zona zona expeditie|scurgere_lichide|Mecanic|mica|2026-01-12
la cmc mazak: axul moyorului e blocta.|La cnc mazak: axul motorului e blocat.|blocaj_mecanic|Mecanic|medie|2026-01-13
verrificati lihia 1, butonul de start e gri (inactiv)|Verificati linia 1, butonul de start e gri (inactiv)|bug_aplicatie|Software|critica|2025-12-12
defecttiune zona expditie: lant rupt.|Defectiune zona expeditie: lant rupt.|uzura_fizica|Mecanic|medie|2026-02-02
verificati magazie piese, pihg timeout|Verificati magazie piese, ping timeout|conectivitate_retea|Software|mica|2026-01-04
verificati cand putetti! dnti rypti la rota dintata la cuuptor tratament|verificati cand puteti! dinti rupti la roata dintata la cuptor tratament|uzura_fizica|Mecanic|medie|2026-01-27
verifiati cuptor fratament, usaa de prrotectie inteenita|Verificati cuptor tratament, usa de protectie intepenita|blocaj_mecanic|Mecanic|mica|2025-12-18
verifcati robo ssudura, contatcul nu cupleaza|Verificati robot sudura, contactul nu cupleaza|componente_automatizare|Electric|medie|2026-02-07
cld de eeroare 404 la statia vospire. trebuie verificat|cod de eroare 404 la statia vopsire. trebuie verificat|bug_aplicatie|Software|medie|2026-02-06
defectiune liia 2: pinng timeout.|Defectiune linia 2: ping timeout.|conectivitate_retea|Software|critica|2026-01-02
defectiune cbc mazak: vibratii puternice la ax.|Defectiune cnc mazak: vibratii puternice la ax.|uzura_fizica|Mecanic|critica|2026-01-25
angrenaj griat la cuptor tratamenf. linie oprita|angrenaj gripat la cuptor tratament. LINIE OPRITA|blocaj_mecanic|Mecanic|critica|2026-01-07
ax desentrat zoba linoa 2|ax descentrat zona linia 2|uzura_fizica|Mecanic|critica|2026-01-03
defectiune robbot sudura: ppicura apa dinn racire.|Defectiune robot sudura: picura apa din racire.|scurgere_lichide|Mecanic|medie|2026-01-31
ax descentrat la cmaera compresoare. inceendiu|ax descentrat la camera compresoare. INCENDIU|uzura_fizica|Mecanic|critica|2026-01-28
la zonna mabalare: scrugere de luei wub utilaj.|La zona ambalare: scurgere de ulei sub utilaj.|scurgere_lichide|Mecanic|critica|2026-01-22
eroare citire debitmetru zona cnc mazak|eroare citire debitmetru zona cnc mazak|senzori_instrumentatie|Electric|mica|2026-02-05
ffluctuatii de tensiune zna robot sidura|fluctuatii de tensiune zona robot sudura|alimentare_curent|Electric|medie|2025-12-29
verifcati magazie piesee, s--a oprit curentul la inie|Verificati magazie piese, s-a oprit curentul la linie|alimentare_curent|Electric|mica|2026-01-09
la root sudura: cabluu de rdtea scoos.|La robot sudura: cablu de retea scos.|conectivitate_retea|Software|medie|2025-12-24
defectiune presa hidraulica: nu mak culiseaza sania.|Defectiune presa hidraulica: nu mai culiseaza sania.|blocaj_mecanic|Mecanic|critica|2026-02-05
la robot kuia: transformmator supraincalzit.|La robot kuka: transformator supraincalzit.|componente_automatizare|Electric|critica|2025-12-22
rugent! paata mare de ulei pe jos la cnc mzak|URGENT! pata mare de ulei pe jos la cnc mazak|scurgere_lichide|Mecanic|critica|2026-01-27
la linia 2: unitatea pc caraie.|La linia 2: unitatea PC caraie.|hardware_it|Software|medie|2026-01-11
rulment sprat la rboot kuka. camd se loate|rulment spart la robot kuka. cand se poate|uzura_fizica|Mecanic|mica|2026-01-19
buug in soft la salvare la cjptor tratament. nota inofrmativa|bug in soft la salvare la cuptor tratament. nota informativa|bug_aplicatie|Software|mica|2025-12-17
defectiune cnc amzak: vaselina curge din laga.|Defectiune cnc mazak: vaselina curge din lagar.|scurgere_lichide|Mecanic|medie|2026-01-31
picuraa apa din rzcire la linia 1. urgent|picura apa din racire la linia 1. URGENT|scurgere_lichide|Mecanic|critica|2026-02-05
defectiune cncc mqzak: motroul declanseaza protectia termic.|Defectiune cnc mazak: motorul declanseaza protectia termica.|componente_automatizare|Electric|mica|2025-12-13
nu vaem tensiune la panou la mgaazie piee. incendiu|nu avem tensiune la panou la magazie piese. INCENDIU|alimentare_curent|Electric|critica|2026-01-05
canlu de retea scos znoa cuptor tratamentt|cablu de retea scos zona cuptor tratament|conectivitate_retea|Software|mica|2025-12-17
verifocati magqzie piesse, nu vede stiick-ul usb|Verificati magazie piese, nu vede stick-ul USB|hardware_it|Software|critica|2026-01-27
ata mare de ulei pe ojs aona magazie piese|pata mare de ulei pe jos zona magazie piese|scurgere_lichide|Mecanic|critica|2026-02-06
